"source_package","record_id","version","transition_from","chapter","artifact_path","artifact_role","planned_change","reported_result","artifact_evidence","change_class","prior_claim","verification_status","severity","source_lines","dependencies","notes"
"L1_v1010_v10182","L1-040","v1.0.18.2","v1.0.18.1","code metadata","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\Anode_Fit_v1.0.18.2.py","release declaration","Deliver a v1.0.18.2 implementation matched to v1.0.18.2 documents.","The filename, ledger, and handover identify v1.0.18.2.","The actual code header still declares release 1.0.16, says it is matched to Ch1/Ch2 1.0.16, and ends its lineage at 1.0.16, while the body contains the v1.0.18.2 Einstein feature.","metadata-regression/contradiction","Matched/version-unified release claims.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\Anode_Fit_v1.0.18.2.py:3-7 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\HANDOVER_v1.0.18.2.md:1-29 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1018_EXECUTION_LEDGER.md:1-33","v1.0.16 code header","This is direct artifact evidence, not an inference from filename. [merge normalization: original verification_status=확정(보고와 모순)]"
"L1_v1010_v10182","L1-041","v1.0.18.2","v1.0.18.1","guide metadata","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\FITTING_GUIDE.md","fitting guide","Add theta_E input documentation and align all guide references to v1.0.18.2.","Fable review reportedly fixed a stale code filename and missing theta_E input.","The guide does add theta_E at lines 50-58, but line 1 still titles it v1.0.16, line 3 points to Anode_Fit_v1.0.16.py, and lines 116-125 retain v1.0.16 suite/sample references.","partial-fix/metadata-regression","Stale filename High reported closed.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\FITTING_GUIDE.md:1-3 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\FITTING_GUIDE.md:50-58 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\FITTING_GUIDE.md:116-125 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\HANDOVER_v1.0.18.2.md:1-29","v1.0.18 plan/review ledger","Feature input documentation landed; version alignment did not fully land. [merge normalization: original verification_status=확정(부분 종결; 보고와 모순)]"
"L1_v1010_v10182","L1-042","v1.0.18.2","v1.0.18.1","roadmap","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\ROADMAP_future_physics.md","future-work boundary","Implement proposal 1 and preserve proposals 2-5 as future candidates.","The handover says only Einstein proposal 1 is implemented.","The roadmap still describes proposals 2-5, and no corresponding APIs/equations appear in v1.0.18.2 final code/TeX. They are not deliverables of this transition.","scope-boundary/debt","Physics-extension master plan.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\ROADMAP_future_physics.md:1-49 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\HANDOVER_v1.0.18.2.md:20-29 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\plans\2026-07-08-v1018-physics-extension-master-plan.md:1-106","L5/later-range roadmap adjudication","Do not treat roadmap prose as implemented science."
"L1_v1010_v10182","L1-043","v1.0.10-v1.0.18.2","n/a","Ch1 label lineage","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\graphite_ica_ch1_v1.0.15.tex","equation/label lineage","Track additions, relocations, and deletions across Ch1.","No global label-loss report was issued.","Counts progress 97,97,123,164,175,180,180,181,181,181. The only observed Ch1 label deletions are the deliberate v1.0.15 removal of eq:branch, eq:lowpass, and eq:vwork during grid-architecture deletion; later changes are additions or textual/format changes.","lineage/deliberate-deletion","Prior chapters accumulated labels through v1.0.14.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\graphite_ica_ch1_v1.0.10.tex:1-1937 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.12\graphite_ica_ch1_v1.0.12.tex:1-2358 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\graphite_ica_ch1_v1.0.13.tex:1-2934 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.14\graphite_ica_ch1_v1.0.14.tex:1-3445 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\graphite_ica_ch1_v1.0.15.tex:1-3512 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\graphite_ica_ch1_v1.0.18.2.tex:1-3544","All intervening fully read Ch1 sources","No accidental Ch1 label loss was found within this range."
"L1_v1010_v10182","L1-044","v1.0.10-v1.0.18.2","n/a","Ch2 label lineage","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\graphite_ica_ch2_v1.0.18.2.tex","equation/label lineage","Track Ch2 thermodynamic equations, assumptions, and worked examples.","No global label-loss report was issued.","Ch2 retains its 38-label base through v1.0.14, adds ssec:worked/tab:worked/tab:qrev in v1.0.15, eq:dwdT-nT in v1.0.16, eq:complete in v1.0.17, and three Einstein labels in v1.0.18.2. No Ch2 label deletion was observed.","lineage/expansion","v1.0.10 Ch2 baseline.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.10\graphite_ica_ch2_v1.0.10.tex:1-750 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\graphite_ica_ch2_v1.0.15.tex:1-886 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.16\graphite_ica_ch2_v1.0.16.tex:1-898 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.17\graphite_ica_ch2_v1.0.17.tex:1-898 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\graphite_ica_ch2_v1.0.18.2.tex:1-958","All intervening fully read Ch2 sources","Equation presence does not by itself validate the physical model."
"L1_v1010_v10182","L1-045","v1.0.10-v1.0.18.2","n/a","Ch3","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase002\E_docs_v1010_v10182_coverage.csv","scope inventory","Track Chapter 3 if a version-local artifact exists.","No version-local Chapter 3 deliverable is named in the in-scope package histories.","The complete 173-path v1.0.10-v1.0.18.2 inventory contains no version-local Ch3 source or PDF.","missing-scope","User requested Ch1-Ch3 tracking.","근거 미발견","Info","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase002\E_docs_v1010_v10182_coverage.csv:1-174 | D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase002\E_docs_v1010_v10182_summary.md:1-112","L5 adjudication of cross-version master roadmaps","This is not evidence that Ch3 was scientifically deleted; it is only absence from the assigned version-local range. [merge normalization: original severity=Unrated]"
"L1_v1010_v10182","L1-046","v1.0.10-v1.0.18.2","n/a","PDF layout","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase002\P_pdf_v1010_v10182_summary.md","Phase 002 visual evidence","Check whether final PDF layout obscures equations, labels, figures, or references.","Phase 002 reports all 26 PDFs/707 pages rendered and visually checked with no layout defect.","The Phase 002 coverage records page-complete visual inspection. This supports layout legibility only; source TeX remains the scientific-history evidence.","layout-verification","TeX/source content findings.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase002\P_pdf_v1010_v10182_summary.md:1-60 | D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase002\P_pdf_v1010_v10182_coverage.csv:1-27","Version-local TeX sources","No scientific PASS is inferred from clean rendering. [merge normalization: original verification_status=확정(레이아웃 한정)]"
"L1_v1010_v10182","L1-047","v1.0.10-v1.0.18.2","n/a","figures","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase002\R_required_images_summary.md","Phase 002 visual evidence","Check required raster figures for visibility and labeling.","Phase 002 reports 86 images visually checked with no failure and legible axes/labels.","The image audit supports presence/readability and catches no layout regression; it does not establish numerical or scientific provenance.","layout-verification","Version-local figure deliverables.","확정","Info","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase002\R_required_images_summary.md:1-42 | D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase002\R_required_images_coverage.csv:1-87","TeX/code figure generation sources","No scientific PASS is inferred from visual legibility. [merge normalization: original verification_status=확정(레이아웃 한정)]"
"L1_v1010_v10182","L1-048","v1.0.10-v1.0.18.2","n/a","machine artifacts","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase002\S_machine_artifacts_summary.md","Phase 002 structural evidence","Inspect NPZ, PYC, and ZIP artifacts structurally and assess provenance.","Phase 002 reports 18 artifacts structurally readable with no integrity failure.","Eight NPZ, six PYC, and four ZIP files were structurally inspected; explicit provenance remains unresolved for 12 of 18.","machine-integrity/provenance-debt","Package completion claims.","미결","Medium","D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase002\S_machine_artifacts_summary.md:1-34 | D:\Projects\Project_Anode_Fit\Codex\work\agent_reports\phase002\S_machine_artifacts_coverage.csv:1-19","Version-local code/tests","Readability is not equivalent to reproducible provenance. [merge normalization: original verification_status=확정(구조); 미결(출처)]"
"L1_v1010_v10182","L1-049","v1.0.16-v1.0.18.2","v1.0.15","figures/metadata","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\plot_dqdv.py","inherited output naming","Retarget each release's plotting script and outputs.","Later packages carry forward plotting artifacts.","The v1.0.16-v1.0.18.2 plot scripts continue to emit/reference anode_fit_v1_0_14_dqdv.png, and the same inherited filename is packaged under later version directories.","metadata-debt/recurrence","Version-local packaging convention.","확정","Low","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.16\plot_dqdv.py:1-135 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\plot_dqdv.py:1-135","Later version-local figs directories","Image content was visually legible; the debt is lineage naming."
"L1_v1010_v10182","L1-050","v1.0.10-v1.0.18.2","n/a","claims/review confidence","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1018_EXECUTION_LEDGER.md","recurrence/confidence history","Use repeated audits and PASS gates to increase confidence without losing contrary evidence.","Multiple releases report PASS/closure.","Confidence did not increase monotonically: v1.0.10 P5 closure was followed by Critical escalation then reversal; v1.0.12 13/13 PASS used a weak harness repaired in v1.0.13; v1.0.13 closed without its formal convergence gate; v1.0.17 initially omitted review scope; v1.0.18.2 closed while stale v1.0.16 metadata remained.","recurrence/confidence-escalation","Successive closure claims.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1010_P5_final-check_RESULT.md:1-51 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1010_INSPECT_verify10.md:1-31 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1010_HANDOVER_INSPECT_verify10.md:1-42 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1012_P43_verify10.md:1-241 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1013_EXECUTION_LEDGER.md:1-32 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1017_EXECUTION_LEDGER.md:1-26 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1018_EXECUTION_LEDGER.md:1-33","Final TeX/code/test artifacts for each release","This row records documentary recurrence, not a blanket rejection of all PASS results."
"L1_v1010_v10182","L1-051","v1.0.18.2","v1.0.18.1","later-range handoff","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\HANDOVER_v1.0.18.2.md","range boundary","Hand off post-v1.0.18.2 development and cross-version master-roadmap adjudication.","The handover/roadmap identify real-data theta_E calibration and proposals 2-5 as future work.","Within this range those items remain unimplemented; v1.0.19-v1.0.23 master roadmaps were treated only as dependencies and were not adjudicated by L1.","handoff/debt","v1.0.18.2 closure.","미결","Info","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\HANDOVER_v1.0.18.2.md:20-29 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.18.2\ROADMAP_future_physics.md:1-49","L5 owns cross-version master roadmaps; later-range auditors own v1.0.19-v1.0.23","Also hand off Ch3 absence adjudication, external DOI verification, machine-artifact provenance, and stale metadata recurrence. [merge normalization: original severity=Unrated]"
"L1_v1010_v10182","L1-052","v1.0.10-v1.0.15","v1.0.10 inspection","Ch1/guide/code","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1010_INSPECT_verify10.md","High-defect carryover lineage","Resolve High B1 kinetic-tail default OFF, C4 charge-tail prose direction, and F1 guide Omega-bound conflict.","The v1.0.10 inspection assigned all three High; v1.0.11 was intended to carry documentary/usability work.","v1.0.11 is byte-identical and closes none. v1.0.12 corrects charge-tail direction and conditions LCO Omega status in the guide. The grid-threshold/default-tail architecture remains until v1.0.15 removes the grid switch entirely.","partial-carryover/split-closure","Three v1.0.10 High findings.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1010_INSPECT_verify10.md:5-10 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1010_HANDOVER_INSPECT_verify10.md:31-39 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.11\FITTING_GUIDE.md:1-46 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\FABLE_REAUDIT_P4_RESULT.md:16-20 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.12\FITTING_GUIDE.md:5-32 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1015_P3_RESULT.md:5-11","v1.0.12 documentary corrections; v1.0.15 grid deletion","The three Highs do not share one closure event; the history must not flatten them into the Critical reversal. [merge normalization: original verification_status=확정(부분 이월 후 분할 종결)]"
"L1_v1010_v10182","L1-053","v1.0.12","v1.0.11/v1.0.10 effective baseline","Ch1/guide/code comments","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.12\FITTING_GUIDE.md","direction/assumption correction set","Correct MSMR pairing to f=+sigma_d, state conditional LCO Omega status, correct charge-tail direction prose, and synchronize code comments.","Fable finalizer reports these corrections applied with zero executable-code behavior change.","The guide states delithiation=+1, f=+sigma_d, LCO Omega/dH_a unassigned, and conditional Omega activation. The result records the charge-tail wording and code-comment synchronization; final code behavior remains inherited.","correction/caveat","Fable verify10 B-2/B-3/B-4 findings.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\FABLE_REAUDIT_P4_RESULT.md:16-20 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.12\FITTING_GUIDE.md:5-11 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.12\FITTING_GUIDE.md:21-32 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.12\Anode_Fit_v1.0.12.py:1-860","v1.0.13 electrode-aware API","This confirms final wording/comment alignment; v1.0.13 later changes the high-level curve API mapping."
"L1_v1010_v10182","L1-054","v1.0.13","v1.0.12","Ch1/code/data","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\Anode_Fit_v1.0.13.py","built-in LCO parameter placement","Move the electronic entropy gate from the middle placeholder transition to the T1/MIT transition and align x_center/x_MIT at 0.85.","The ledger reports dict T1 reordering in code loop B.","v1.0.12 assigns the electronic keys to the x=0.50 middle dict; v1.0.13 final code places them on the T1 entry and sets x_center=x_MIT=0.85, with an explicit lineage comment.","data-reassignment/correction","v1.0.12 tier-C middle-dict demonstration assignment.","확정","Medium","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.12\Anode_Fit_v1.0.12.py:622-636 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.13\Anode_Fit_v1.0.13.py:652-666 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1013_EXECUTION_LEDGER.md:12-12 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1013_EXECUTION_LEDGER.md:28-28","v1.0.13 Ch1 tab:lco-staging","The artifact supports reassignment; empirical correctness of 0.85 remains outside this audit."
"L1_v1010_v10182","L1-055","v1.0.15","v1.0.14","Ch1","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\graphite_ica_ch1_v1.0.15.tex","approved physics/prose corrections","Apply the P2 Sommerfeld correction and close the P3 High sign error in the pointwise tail limit.","P3 reports the g-prime term replaced by the g-double-prime O(T^3) correction and the tail peak changed to the absolute derivative for both directions; convergence review found no new defect.","Final Ch1 states parity cancellation and the O(T^3) correction at lines 2754-2755. The tail derivation uses an integrable exp(-t)/(4w) bound and closes on a nonnegative direction-invariant peak magnitude.","correction","P2 Low Sommerfeld attribution error and P3 F1 High charging-tail sign error.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1015_P2_PHYSICS_REVIEW.md:14-21 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1015_P3_RESULT.md:19-30 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\graphite_ica_ch1_v1.0.15.tex:2081-2101 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.15\graphite_ica_ch1_v1.0.15.tex:2754-2755","v1.0.15 P3/P4 continuation","Highest historical severity is shown; the Sommerfeld item itself was Low."
"L1_v1010_v10182","L1-056","v1.0.16","v1.0.15","guide","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.16\FITTING_GUIDE.md","removed-architecture documentation cleanup","Remove stale Phase C/section 6 references to nu after v1.0.15 deleted the grid threshold.","The v1.0.16 ledger classifies the stale references as reg-F2 High and reports deletion.","The final 115-line guide describes pointwise architecture and no longer prescribes min_lag_grid_steps/nu as an active fitting control.","regression-correction","v1.0.15 architecture removed nu, but inherited guide prose remained.","확정","High","D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\results\process\V1016_EXECUTION_LEDGER.md:16-17 | D:\Projects\Project_Anode_Fit\Codex\work\source_snapshots\8ea83fc6825d2e62c360e08d7738ef26d3171914\Claude\docs\v1.0.16\FITTING_GUIDE.md:1-115","v1.0.15 pointwise architecture","This is documentary closure of an architecture-debt recurrence."
"L2_v1019_v1020","L2-001","Phase 003","Phase 002","cross-cutting","Codex/results/phase002 package F and A/B/C indexes","locator dependency","Use Phase 002 package F plus A/B/C indexes to locate evidence","No such package/index paths were identifiable inside the permitted snapshot","Snapshot-wide path/name searches found no Phase 002 package F or A/B/C coverage files; local Claude indexes were used only to orient paths and never as evidence substitutes","missing_dependency","Phase 002 coverage packages were expected to be available","근거 미발견","Medium","snapshot-wide filename/path search; Claude/docs/INDEX.md:1-175; Claude/plans/INDEX.md:1-50","user-specified Phase 002 packages","Absence is limited to the permitted snapshot and does not mean the packages never existed elsewhere."
"L2_v1019_v1020","L2-002","v1.0.19","v1.0.18.2","Chapter 1","Claude/plans/2026-07-08-v1019-ch1-fable-rewrite-plan.md","master plan","Rewrite Chapter 1 from the v1.0.18.2 monolith through Fable authoring, ten-way review, and final Fable correction; freeze code, Chapter 2, and appendix","The initial plan was executed for Chapter 1 before the scope later expanded","The plan names v1.0.18.2 as base, fixes the model, requires preservation of prior assets, and excludes code/Chapter 2/appendix","expansion","v1.0.19 was initially a Chapter-1-only document release","확정","Info","Claude/plans/2026-07-08-v1019-ch1-fable-rewrite-plan.md:1-19,27-31,33-49,61-75","Claude/docs/v1.0.18.2/graphite_ica_ch1_v1.0.18.2.tex:1-3544","This is the opening scope, not the final scope."
"L2_v1019_v1020","L2-003","v1.0.19","v1.0.18.2","Chapter 1","Claude/docs/v1.0.19/graphite_ica_ch1_v1.0.19.tex; Claude/docs/v1.0.19/_sections/ch1_*.tex","final TeX/PDF source","Replace the inherited monolith with a sectioned, self-contained Chapter 1 while preserving scientific assets","Twenty-four section files and a 43-line master were produced; reported asset coverage was 336/336 and final PDF was 62 pages","All 24 section files were read first-to-last; the master includes them; the final PDF was read pages 1-62; no missing source section was found","relocation+expansion","The v1.0.18.2 Chapter 1 was a 3544-line monolith","확정","Info","Claude/results/process/V1019_EXECUTION_LEDGER.md:42-48; Claude/docs/v1.0.19/graphite_ica_ch1_v1.0.19.tex:1-43; Claude/docs/v1.0.19/_sections/ch1_preamble.tex:1-72; Claude/docs/v1.0.19/_sections/ch1_sec00_intro.tex:1-91 through ch1_bib.tex:1-37","Claude/results/process/V1019_ASSET_CHECKLIST.md:1-392","The relocation is structural; scientific correctness of preserved claims is not inferred from asset counts or build status."
"L2_v1019_v1020","L2-004","v1.0.19","v1.0.18.2","Chapter 2","Claude/results/process/V1019_EXECUTION_LEDGER.md","execution history","Keep Chapter 2 inherited and out of the initial Chapter 1 plan","User direction reversed the freeze; Chapter 2 was rewritten through the same Fable-review-Fable workflow and became doc-leads","The ledger adds C-P1 through C-P5, records the direction correction, and records 15 final section files","scope_reversal+supersession","Chapter 2 would be copied unchanged from v1.0.18.2","확정","High","Claude/results/process/V1019_EXECUTION_LEDGER.md:14-24,49-55; Claude/docs/v1.0.19/graphite_ica_ch2_v1.0.19.tex:1-37","Claude/plans/2026-07-08-v1019-ch1-fable-rewrite-plan.md:11-19,61-75","The later ledger supersedes the initial plan on Chapter 2 scope."
"L2_v1019_v1020","L2-005","v1.0.19","v1.0.18.2","Chapter 2 §2.1","Claude/results/process/V1019_CH2_UNION_DEFECTS.md; Claude/docs/v1.0.19/_sections/ch2_sec01_partition.tex","High-issue closure","Find and correct review defects after the Chapter 2 rewrite","CU-1 was reported as a HIGH entropy-sign error and then reported corrected","The defect report identifies the wrong negative sign; final source states s_int=-df_int/dT with a leading +k_B ln q(T) contribution and consistent molar conversion","correction","CU-1 was closed in C-P4","확정","High","Claude/results/process/V1019_CH2_UNION_DEFECTS.md:5-18; Claude/results/process/V1019_EXECUTION_LEDGER.md:52-54; Claude/docs/v1.0.19/_sections/ch2_sec01_partition.tex:43-49,65-67","v1.0.18.2 Chapter 2 had no equivalent explicit erroneous sentence","This verifies closure against final source; it does not independently validate the full thermodynamic model."
"L2_v1019_v1020","L2-006","v1.0.19","v1.0.18.2","Chapter 2","Claude/results/process/V1019_EXECUTION_LEDGER.md","claim chronology","Establish a clean physical review result","An earlier ledger entry used zero-physical-error language; a later review found HIGH CU-1 before correction","The append-only ledger contains both claims in temporal order; the earlier unconditional wording is superseded by the later defect and fix record","supersession","Physical errors 0 / core intact","확정","Medium","Claude/results/process/V1019_EXECUTION_LEDGER.md:47,52-54","Claude/results/process/V1019_CH2_UNION_DEFECTS.md:5-18","The final corrected artifact may be clean with respect to CU-1, but the earlier historical claim was overconfident at that point."
"L2_v1019_v1020","L2-007","v1.0.19","v1.0.18.2","code/API","Claude/docs/v1.0.19/Anode_Fit_v1.0.19.py","final code","Initially exclude code; after doc-leads expansion, add composition-axis APIs without changing existing paths","Added solve_U_oc, entropy_coefficient_x, reversible_heat_x, and return_terms while retaining prior routes","The final code implements entropy term separation, bisection for U_oc, and the three x_bar entry points; regression harness exercises the inherited paths","additive_code+scope_reversal","Code was frozen at v1.0.18.2","확정","High","Claude/results/process/V1019_EXECUTION_LEDGER.md:23-32,38-40; Claude/docs/v1.0.19/Anode_Fit_v1.0.19.py:622-694,710-830","Claude/docs/v1.0.19/_sections/ch2_appB_codemap.tex:12-67","API existence and implementation behavior are confirmed; scientific adequacy is a separate question."
