challenge_id,target_record_or_claim,source_location,first_pass_claim,challenge_result,evidence,status,severity_change,required_adjudication,confidence
"F1-054","L3-056; L4-056","SNAPSHOT\Claude\docs\v1.0.22\_sections\ch2_sec08_synthesis.tex:direct MCMB comparison | SNAPSHOT\Claude\docs\v1.0.23\_sections\ch2_sec08_synthesis.tex:same inherited range","The MCMB entropy-scale mismatch remained visible through v1.0.23.","The caveat was retained rather than silently lost, so it is not a High provenance defect.","Final prose contrasts about 3-4 mV/K with about 0.30 mV/K and calls for original-source/unit recheck.","DOWNGRADED","High->Info","Carry the source/unit question into the scientific audit.","High"
"F1-055","L3-057","SNAPSHOT\Claude\docs\v1.0.22\_sections\ch3v22_sec02_cases.tex:direct ICE attribution range | SNAPSHOT\Claude\docs\v1.0.22\results\comp_R4:source records","The roughly 40 percent causal attribution from ICE improvement is stronger than the cited provenance establishes.","Direct internal records show the causal quantification, but Step 35 cannot validate the primary scientific attribution.","The prose converts ICE 58.5 to 82.1 percent into a direct consumed-lithium mechanism fraction without a matching direct-source passage in the snapshot record.","NOT_TESTABLE","SAME","Require primary-source passage adjudication in the Chapter 3 scientific/source phase.","Medium"
"F1-056","L3-058","SNAPSHOT\Claude\docs\v1.0.22\_sections\ch3v22_sec02_cases.tex:source box | SNAPSHOT\Claude\docs\v1.0.22\results\HANDOVER_v1.0.22.md:open gaps","The claim that all comp_R4 values were confirmed conflicts with the same package's listed confirmation gaps.","The internal provenance contradiction is upheld.","The source box uses all-values/tier-A language while enumerating four gaps and the closeout retains missing quantitative evidence.","UPHELD","SAME","Replace global confirmation wording with per-value statuses.","High"
"F1-057","L3-059","SNAPSHOT\Claude\docs\v1.0.22\_sections\ch3v22_sec03_blend.tex:direct balance/caveat range","The common-mu balance is exact at equilibrium, while finite-rate additive host response is only a first approximation.","The final caveat is present; broader scientific validity is outside lineage falsification.","Source text separates equilibrium balance from the finite-rate simultaneous-response approximation.","DOWNGRADED","High->Medium","Preserve that separation in any downstream reuse.","High"
"F1-058","L3-064","SNAPSHOT\Claude\docs\v1.0.22\results\comp_v23:full precursor inventory | SNAPSHOT\Claude\plans\2026-07-18-v1023-ratio-and-advanced-methods-plan.md:1-225","comp_v23 surveys are draft precursor provenance, not completed v1.0.22 science.","Directory placement does not falsify the target-version classification.","The surveys identify future candidates and the v1.0.23 plan later selects/implements a subset.","UPHELD","SAME","Retain explicit precursor status.","High"
"F1-059","L3-065; L4-009; L5-038","SNAPSHOT\Claude\docs\v1.0.23\_sections\ch1_appE_selfconsistent.tex:1-end | SNAPSHOT\Claude\docs\v1.0.23\results\V1023_REFERENCE_LEDGER.md:1-32 | SNAPSHOT\Claude\docs\v1.0.23\results\PHASE_P1_RESULT.md:1-112","The JCP147 route is available, but original Ref.6/Ref.7 derivations and exact metadata were not directly verified.","The original-source limitation survives falsification.","The package explicitly marks the route original-indirect; no original Ref.6/Ref.7 texts exist in the snapshot, while lee2017jcp has an included source.","UPHELD","SAME","Do not label Ref.6/Ref.7 direct-verified without originals and exact passage mapping.","High"
"F1-060","L3-066","SNAPSHOT\Claude\docs\v1.0.22\results\comp_v23\SURV2_asymptotic_pert.md:direct exponent discussion | SNAPSHOT\Claude\docs\v1.0.22\results\comp_v23\SURV4_bifurcation_stochastic.md:direct exponent discussion","The precursor surveys give unresolved, differently scoped interpretations of the 3/2 exponent.","The documentary conflict is real; Step 35 cannot resolve the scientific reconciliation.","One survey calls it a mean-field spinodal exponent; another calls it a universal cusp-fold exponent without explicitly separating contexts.","UPHELD","SAME","Require a later scientific adjudication that separates thermodynamic spinodal and local normal-form claims.","Medium"
"F1-061","L3-068","SNAPSHOT\Claude\docs\v1.0.22\results\comp_v23\SURV_SYNTHESIS.md:line 7 and surrounding ranking","The survey ranking does not prove v1.0.22 scientific completeness.","The synthesis rhetoric is overbroad, but it does not indicate lost final science.","The source establishes candidate ranking and internal derivations only.","DOWNGRADED","High->Medium","Reword completeness as bounded candidate-screening coverage.","High"
"F1-062","Major claim: v1.0.21->v1.0.22 reorganization retained final scientific labels/citations except intentional navigation removal","SNAPSHOT\Claude\docs\v1.0.21\_sections:full label/bib extraction | SNAPSHOT\Claude\docs\v1.0.22\_sections:full label/bib extraction | SNAPSHOT\Claude\docs\v1.0.22\plans\PLAN_R1_reorg.md:1-98","Final-state retention is upheld and transient R1 omissions are not final loss.","Direct extraction found 325 versus 363 labels, exactly seven lost navigation labels, 66 versus 87 bibliography keys, and zero lost bibliography keys.","sec18 and all three split bibliographies exist in final v1.0.22; the seven missing labels are navmap/roadmap/symbol navigation labels named by the reorganization decision.","UPHELD","SAME","Keep transient omission and final retention as separate facts.","High"
"F1-063","Major claim: v1.0.22 Chapter 3 authorship/integration provenance","SNAPSHOT\Claude\docs\v1.0.22\results\comp_R5\W1:full | SNAPSHOT\Claude\docs\v1.0.22\results\comp_R5\W2:full | SNAPSHOT\Claude\docs\v1.0.22\results\comp_R5\W3:full | SNAPSHOT\Claude\docs\v1.0.22\_sections\ch3v22_sec01_map.tex:full | SNAPSHOT\Claude\docs\v1.0.22\_sections\ch3v22_sec02_cases.tex:full | SNAPSHOT\Claude\docs\v1.0.22\_sections\ch3v22_sec03_blend.tex:full | SNAPSHOT\Claude\docs\v1.0.22\_sections\ch3v22_sec04_mech.tex:full | SNAPSHOT\Claude\docs\v1.0.22\_sections\ch3v22_sec05_code.tex:full | SNAPSHOT\Claude\docs\v1.0.22\_sections\ch3v22_notation.tex:full","Opus streams produced primary W drafts and Fable selected/integrated them.","Direct final-line overlap upholds the division of authorship and integration roles.","Unique nonblank exact-line overlap is dominant by assigned stream: sec01 W3 114/119, sec02 W2 85/153, sec03 W1 130/248, sec04 W1 87/94, sec05 W3 44/62, notation W3 24/41.","UPHELD","SAME","Use this only for provenance; do not infer scientific quality from model identity.","High"
"F1-064","L5-036; L5-037","SNAPSHOT\Claude\docs\v1.0.22\results\HANDOVER_v1.0.22.md:103-115 | SNAPSHOT\Claude\docs\v1.0.23\results\comp_v23\AUD_REPORT_v23.md:1-65 | SNAPSHOT\Claude\docs\v1.0.23\_sections\ch1_appE_selfconsistent.tex:1-end","The v1.0.22 claim that one ratio method applies to all three structures was narrowed in v1.0.23 to causal lag II.","The supersession is direct and substantive; the narrowed derivation's scientific truth remains untested here.","v1.0.22 says high-confidence applicability to all three; v1.0.23 audit distinguishes algebraic structures I/III and retains the ratio mapping for II.","UPHELD","SAME","Mark the v1.0.22 all-three claim superseded and route derivation quality to the scientific audit.","High"
"F1-065","L4-008","SNAPSHOT\Claude\docs\v1.0.23\results\V1023_REFERENCE_LEDGER.md:1-32 | SNAPSHOT\Claude\docs\v1.0.23\_sections\ch1v22_bib.tex:1-end","The v1.0.23 reference ledger is stale and omits all three new bibliography entries.","The final artifact directly upholds this lineage-control defect.","The ledger title/content remain v1.0.22-era and contain none of lee2017jcp, lee2011jcp, or son2013jcp, although all are in the final bibliography.","UPHELD","SAME","Update the ledger or explicitly declare it non-current before LINEAGE_PASS closure.","High"
"F1-066","Major claim: first-pass lines 108 and 124 say v1.0.23 Chapters 2 and 3 are byte-identical to v1.0.22","SNAPSHOT\Claude\docs\v1.0.22\ch2_lco_v1.0.22.tex:full | SNAPSHOT\Claude\docs\v1.0.22\ch3_si_v1.0.22.tex:full | SNAPSHOT\Claude\docs\v1.0.23\ch2_lco_v1.0.23.tex:full | SNAPSHOT\Claude\docs\v1.0.23\ch3_si_v1.0.23.tex:full | SNAPSHOT\Claude\docs\v1.0.22\ch2_lco_v1.0.22.pdf:full | SNAPSHOT\Claude\docs\v1.0.22\ch3_si_v1.0.22.pdf:full | SNAPSHOT\Claude\docs\v1.0.23\ch2_lco_v1.0.23.pdf:full | SNAPSHOT\Claude\docs\v1.0.23\ch3_si_v1.0.23.pdf:full","Whole chapters are byte-identical.","Literal byte identity is false, although scientific section bodies and version-normalized extracted text are retained.","All 17 Chapter 2 and all 8 Chapter 3 section files are byte-identical; master roots differ in version strings, PDFs differ in bytes, and extracted text differs in version title/page headers but normalizes identically.","REFUTED","SAME","Replace whole-chapter byte-identical with section-body byte identity plus version-normalized scientific-text equivalence.","High"
"F1-067","Major claim: v1.0.22->v1.0.23 scientific asset retention and missing phase PDF","SNAPSHOT\Claude\docs\v1.0.22:full inventory | SNAPSHOT\Claude\docs\v1.0.23:full inventory | SNAPSHOT\Claude\docs\v1.0.22\appendix_phase_separation.tex:full | SNAPSHOT\Claude\docs\v1.0.23\appendix_phase_separation.tex:full","The only missing scientific release asset is appendix_phase_separation.pdf; TeX and chapter source are retained.","The bounded asset conclusion is upheld.","The transition has 20 added, 141 deleted, and 63 common logical artifacts; 140 deletions are plans/results/process history and the sole non-process deletion is the phase PDF. Fifty-one common section files include 48 byte-identical, 3 intentionally changed, 1 added, and 0 deleted.","UPHELD","SAME","Decide whether the PDF omission is intentional release policy, a waiver, or a restoration requirement.","High"
"F1-068","Major report claim: v1.0.23 image/curve QA remained merely planned at final snapshot","SNAPSHOT\Claude\docs\v1.0.23\results\HANDOVER_v23.md:1-43 | SNAPSHOT\Claude\docs\v1.0.23\results\qa_images\CURVE_QA_v23.md:1-38 | SNAPSHOT\Claude\docs\v1.0.23\results\qa_images\*.png:full","The final handover's planned wording describes the final QA state.","A contradictory final QA report and PNG set exist, so the pending-status claim is stale.","HANDOVER line 33 says planned; CURVE_QA_v23.md and nonblank QA images are present in the final snapshot.","REFUTED","High->Info","Correct the handover status while retaining separate limitations on what the visual QA proves.","High"
"F1-069","L4-014","SNAPSHOT\Claude\docs\v1.0.23\_sections\ch1_appE_selfconsistent.tex:1-end","Appendix E retained assumptions, a perturbation criterion, and degraded-regime warnings.","The caveat-retention claim is upheld.","Final source forbids a computation-saving interpretation, defines epsilon, and warns outside the perturbative regime.","UPHELD","SAME","Scientific adequacy of the threshold remains for later audit.","High"
"F1-070","L4-018","SNAPSHOT\Claude\docs\v1.0.23\Anode_Fit_v1.0.23.py:causal memory functions | SNAPSHOT\Claude\docs\v1.0.23\CODE_GUIDE_v23.md:1-196","The pointwise memory algorithm needs an explicit finite-window prehistory contract.","The boundary assumption exists, but it is an implementation-domain caveat rather than a provenance break.","The first output is set to ksi_eq[0]; equivalence to a negative-infinity natural boundary requires constant/asymptotic prehistory before the sampled window.","DOWNGRADED","High->Medium","Document the prehistory/window condition or add a boundary-error test in implementation work.","High"
"F1-071","L4-020","SNAPSHOT\Claude\docs\v1.0.23\Anode_Fit_v1.0.23.py:FFT transfer helper | SNAPSHOT\Claude\docs\v1.0.23\test_gates_v1023_selfconsistent.py:1-120","The FFT helper lacks a general causal-boundary equivalence contract.","The test-meaning/boundary claim survives falsification.","The helper uses unpadded FFT circular convolution; G-E4 instead relies on long flat margins and an interior mask.","UPHELD","SAME","State periodic/padded/flat-margin assumptions and test boundary sensitivity.","High"
"F1-072","L4-023","SNAPSHOT\Claude\docs\v1.0.23\test_gates_v1023_selfconsistent.py:1-120 | SNAPSHOT\Claude\docs\v1.0.23\results\PHASE_P3_RESULT.md:1-102","G-E3 does not independently prove first-order error scaling to a true nonlinear fixed point.","The test-overclaim is upheld.","The reference is 60 iterations of the same map with no residual/convergence assertion; selected-point err1<=err0 is not an order study.","UPHELD","SAME","Require an independent solve, residual, grid refinement, and epsilon-scaling study before using proof/certificate language.","High"
"F1-073","L4-031","SNAPSHOT\Claude\docs\v1.0.23\results\qa_images\CURVE_QA_v23.md:1-38 | SNAPSHOT\Claude\docs\v1.0.23\results\qa_images\*.png:full","Visual and sampled finite-difference QA cannot establish global C2 smoothness for every allowed configuration.","The overgeneralization is real, but it is a test-scope issue rather than lineage loss.","Two nonblank rendered curves and sampled differences support visible smoothness only.","DOWNGRADED","High->Medium","Replace global C2 proof language with sampled visual/numerical QA coverage.","High"
"F1-074","L4-033","SNAPSHOT\Claude\docs\v1.0.23\results\qa_images\CURVE_QA_v23.md:1-38 | SNAPSHOT\Claude\docs\v1.0.23\Anode_Fit_v1.0.23.py:105-112","The curve-QA statement that lower activation enthalpy raises visible lag contradicts the implemented equation.","The internal source contradiction is upheld without performing a scientific re-audit.","func_L_q contains exp(+dH_a/RT); under the implemented model, lowering dH_a lowers L_q rather than raising it.","UPHELD","SAME","Correct the QA calibration-direction sentence before reuse.","High"
"F1-075","L4-043","SNAPSHOT\Claude\results\research\CH2_v3\20_extraction\msmr_partI_quantify_2024.md:13 | SNAPSHOT\Claude\results\research\CH2_v3\20_extraction\_SUMMARY.md:1-40 | SNAPSHOT\Claude\results\research\CH2_v3\30_synthesis_gap.md:1-34","An upstream enthalpy-sign transcription conflicts with the downstream sign-consistent synthesis.","The documentary conflict exists, but scientific adjudication requires the primary paper.","The source card's sign is inconsistent with its own DeltaG=-nFU convention; downstream synthesis uses DeltaH=-nFE+nFT dE/dT.","PARTIAL","High->Medium","Resolve against the primary paper and mark the governing corrected equation.","Medium"
"F1-076","L4-044","SNAPSHOT\Claude\results\research\CH2v4\42_numerical_verification.md:1-162","The numerical derivative/decomposition PASS is same-model validation, not measurement-grade external validation.","The internal-consistency result is real; the stronger validation label is not.","Analytic expressions are compared with finite differences generated by the same model and inputs, with no independent data oracle.","DOWNGRADED","High->Medium","Rename the gate as same-model numerical consistency.","High"
"F1-077","L4-047","SNAPSHOT\Claude\results\research\radius\20_synthesis.md:1-30 | SNAPSHOT\Claude\results\research\radius\30_scope_origin.md:1-30 | SNAPSHOT\Claude\results\research\radius\40_scope_band.md:1-22 | SNAPSHOT\Claude\results\research\radius\ORIGIN_VERDICT.md:1-79","The radius-origin chain deliberately corrected and expanded its interpretation rather than silently preserving a unique radius-only claim.","The final correction governs and no provenance regression remains.","Later records reject radius-only inverse inference while allowing broader structural/disorder heterogeneity.","DOWNGRADED","High->Info","Use the final verdict and retain the superseded hypothesis only as history.","High"
"F1-078","L4-049","SNAPSHOT\Claude\results\research\radius\42_band_dos_size_potential.md:50-90 | SNAPSHOT\Claude\results\research\radius\BAND_VERDICT.md:25-55","The exact quantum-size magnitudes/ratios are internally conflicting.","Step 35 can confirm the conflict but cannot recompute/adjudicate the scientific quantities.","Research records use inconsistent geometry/unit routes while converging qualitatively on below-tens-of-mV confinement.","NOT_TESTABLE","SAME","Recompute from one explicit geometry/unit convention in the scientific audit.","Medium"
"F1-079","L4-050","SNAPSHOT\Claude\results\research\radius\41_gitt_residual_equilibrium.md:1-87","A roughly 10 mV GITT relaxation/hysteresis scale is not direct evidence of one-direction dQ/dV peak width.","The provenance mismatch is visible, but quantitative scientific use needs the primary trace.","The source record describes residual-rest/directional behavior rather than a one-direction peak-width extraction.","NOT_TESTABLE","SAME","Require the primary trace and an explicit width-extraction method.","Medium"
"F1-080","L4-053","SNAPSHOT\Claude\plans\2026-07-18-anodefit-bdd-integration-plan.md:30-130 | SNAPSHOT\Claude\docs\v1.0.23\FITTING_GUIDE.md:63-126","Real-data/BDD validation remained planned rather than executed.","The debt transfer is explicit and honest, so it is not a High lineage defect.","The plan defines future data work and records dormant default lag; no completed real-data artifact exists in the snapshot.","DOWNGRADED","High->Info","Keep the validation program open outside LINEAGE_PASS.","High"
"F1-081","L4-054","SNAPSHOT\Claude\docs\v1.0.23\results\MERGE_READINESS_v23.md:1-52 | SNAPSHOT\Claude\docs\v1.0.23\results\HANDOVER_v23.md:1-43 | SNAPSHOT\Claude\docs\v1.0.23\results\comp_v23\AUD_REPORT_v23.md:1-65","Merge-ready/process readiness does not prove scientific correctness or zero remaining defects.","The blanket scientific reading remains false, but Critical overstates a provenance gate whose open debts are disclosed.","Implementation artifacts and bounded gates exist; handover/audit retain indirect sources, approximation limits, and unperformed real-data work.","DOWNGRADED","Critical->High","Define merge-ready as artifact/process readiness only.","High"
"F1-082","L5-041","SNAPSHOT\Claude\docs\v1.0.23\results\comp_v23\AUD_REPORT_v23.md:1-65 | SNAPSHOT\Claude\docs\v1.0.23\results\MERGE_READINESS_v23.md:1-52","Five reviews and zero post-correction Critical findings do not independently prove a defect-free endpoint.","Documentary closeout is confirmed; zero-defect status is not.","The same closeout corrects two major overstatements and preserves source/test limitations.","PARTIAL","High->Medium","Report zero known blocking artifact defects within reviewed scope, not defect-free science.","High"
"F1-083","L5-039","SNAPSHOT\Claude\docs\v1.0.22\Anode_Fit_v1.0.22.py:1-1500 | SNAPSHOT\Claude\docs\v1.0.23\Anode_Fit_v1.0.23.py:1-end","v1.0.23 code is additive and default-off, but runtime bit-exact parity is stronger than static identity.","Static inheritance is upheld; runtime parity was not re-executed under the read-only boundary.","Functions grow 47 to 50; three helpers are added, executable changes are limited to GraphiteAnodeDQDV.__init__/dqdv, and one blend method changes docstring only.","PARTIAL","High->Medium","Separate AST/source inheritance from disabled-path behavioral parity.","High"
"F1-084","L5-042","D:\Projects\Project_Anode_Fit\Codex\results\PHASE_002_V1010_V1023_FULL_READ_LEDGER.md:declared full ledger boundary | D:\Projects\Project_Anode_Fit\Codex\results\phase003_version_artifact_matrix.csv:rows 1-826","A full-read/undisposed-count PASS is coverage accounting, not claim truth.","The boundary statement is upheld.","The ledger explicitly excludes science correctness, source truth, structural quality, and document-code truth; this audit independently resolved all 826 artifact rows without treating that as scientific proof.","UPHELD","SAME","Keep coverage and truth gates separate.","High"
"F1-085","Major claim: v1.0.23 operator/chapter prose is current","SNAPSHOT\Claude\docs\v1.0.23\FITTING_GUIDE.md:1-137 | SNAPSHOT\Claude\docs\v1.0.23\_sections\ch3v22_sec05_code.tex:1-70 | SNAPSHOT\Claude\docs\v1.0.23\Anode_Fit_v1.0.23.py:95-205","The endpoint prose is synchronized to the implemented blend/ratio release.","The guide and Chapter 3 future-tense paragraph are stale, but this is release metadata/prose debt rather than lost code inheritance.","The guide still titles v1.0.20 and points to v1.0.19-era assets; Chapter 3 says R6 will implement code already present since v1.0.22.","DOWNGRADED","High->Medium","Synchronize operator and future-tense prose or label them historical.","High"
"F1-086","M-001; M-003; M-004; M-006; M-016","D:\Projects\Project_Anode_Fit\Codex\results\v1010_v1023_version_lineage.csv:the named M rows and their source locations","The named code/model findings are Critical scientific defects to adjudicate in Step 35.","They are outside the authorized provenance/history falsification scope and were not scientifically re-audited.","These rows concern absolute mass normalization, SI unit invariance, affinity closure, stress-measure transfer, and capacity basis, not whether artifacts were inherited/authored/retained.","NOT_TESTABLE","SAME","Route each row unchanged to the Chapter 1-3 code/scientific audit; no lineage disposition is implied.","High"
"F1-087","M-002; M-005; M-007; M-008; M-015","D:\Projects\Project_Anode_Fit\Codex\results\v1010_v1023_version_lineage.csv:the named M rows and their source locations","The named validation/domain findings should be decided as lineage defects in Step 35.","They are outside provenance scope and were not scientifically re-audited.","The rows concern external mass-basis oracles, epsilon accuracy, finite-strain validity, composition-dependent partial molar volume, and chapter self-containment.","NOT_TESTABLE","SAME","Preserve for the appropriate scientific/structural phases.","High"
"F1-088","M-009; M-010; M-011; M-012; M-013","D:\Projects\Project_Anode_Fit\Codex\results\v1010_v1023_version_lineage.csv:the named M rows and their source locations","The named literature/model-transfer findings should be scientifically adjudicated in Step 35.","They are outside provenance scope and were not scientifically re-audited.","The rows concern Reynier quantity attribution, CoO2-to-O3 transfer, logistic-gate derivation, local/T-squared implementation, and ablation fairness.","NOT_TESTABLE","SAME","Route unchanged to the LCO scientific/source audit.","High"
