finding_id,source_finding_id,chapter,domain,severity,evidence_status,critic_disposition,controlling_location,claim_or_problem,refutation_attempt,calculation_or_primary_evidence,final_judgment,required_correction,code_impact,confidence
"P10-PCM-024","P7-CH3-001","3","Blend mass normalization","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch3v22_sec03_blend.tex:78-84,203-222; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:1252-1270,1288-1319","from_wt computes the correct capacity fraction but the constructor holds graphite capacity fixed and adds Si, so absolute capacity is not on a fixed-total-active-mass wt-percent basis.","Tried to rescue the behavior as deliberate fixed-graphite scaling. That is internally coherent and preserves normalized shape, but the public wt-percent wording and absolute Q figure do not declare this different mass basis.","For m=0.1,0.2,0.3 with qSi=1000 and qgr=372, code/fixed capacity is 1.111111111111, 1.25, and 1.428571428571=1/(1-m). Integrated areas match code Q within 6.852e-7 relative; normalized shape deltas are at most 1.776e-15.","Capacity fraction and normalized shape are correct; absolute capacity is inflated on the stated fixed-mass interpretation.","Expose a named mass basis. For fixed total mass scale graphite and Si capacities by 1-m and m; retain current behavior only as explicitly fixed-graphite mode.","Constructor/from_wt contract, absolute-Q tests, and figure labels require change; fSi algebra stays.","0.999"
"P10-PCM-025","P7-CH3-003","3","Common potential and host factorization","Medium","확정","MODIFY","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch3v22_sec03_blend.tex:4-15,17-46,61-77,128-133,229-272; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:1146-1165,1278-1284,1322-1328,1355-1365","A common equilibrium Li potential is exact, but product partition functions and additive pure-host responses are exact only for G_int=0 or an equivalent independent-host closure.","Tried to refute by reading the full section: it explicitly states host independence and code GS-2 limits. Those disclosures validate the implemented restricted model, although two nearby exactness statements detach the qualifier.","With two binary hosts at fugacity z=1 and beta J=1, Z_independent=4 while Z_coupled=3.367879441171, an 18.769097% factorization difference. Coupled stationarity still shares lambda through mu_gr+dGint/dNgr=mu_Si+dGint/dNSi.","Modified: common-potential equilibrium is exact; factorization/additivity are exact only inside an already declared independent-host model. Severity is reduced from High to Medium.","Attach the qualifier to every exactness statement and show the G_int derivative stationarity as the excluded general case.","Existing forward code correctly implements the restricted additive model; only its scientific contract/interpretation needs narrowing unless coupling is added.","0.98"
"P10-PCM-026","P7-CH3-005","3","Biaxial versus hydrostatic stress","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch3v22_notation.tex:33-36; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch3v22_sec04_mech.tex:16-68; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:1167-1170,1190-1192,1242-1250","The chapter inserts Sethuraman's slope against equi-biaxial in-plane film stress as if it were dV/dsigma_h.","Tried to identify source use of hydrostatic stress. Full pages 1-21 explicitly define equi-biaxial plane stress and report measured 125,104,110 mV/GPa versus that stress.","For diag(sigma_b,sigma_b,0), sigma_h=2sigma_b/3 and Lambda_h=1.5 Lambda_b. With vSi=12.7 cm3/mol and eta=0.7, theory gives 92.138674 mV/GPa hydrostatic and 61.425783 mV/GPa biaxial. Measured 100-125 biaxial corresponds to 150-187.5 hydrostatic on this conversion.","The stress-measure conflation and factor 3/2 are confirmed; the tension/compression sign convention itself is consistent.","Define Lambda_b and Lambda_h separately, report theory and measurements on their native geometry, and require the offset caller to declare stress measure.","High API-semantics/document impact; code consumes a precomputed offset and performs no conversion.","0.999"
"P10-PCM-027","P7-CH3-006","3","Finite-strain validity","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch3v22_sec01_map.tex:16-20,48-53; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch3v22_sec04_mech.tex:16-60,71-105; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:1167-1170,1382-1392","A first-order small-strain Larché-Cahn term is presented as the reversible closure while the same chapter invokes roughly 270-300% Si volume expansion.","Tried to use the GS-1 plasticity exclusion as the validity caveat. Sethuraman separately states the thermodynamic expression is small-strain/small-solute and errors can be substantial near 270% volume strain; excluding plasticity does not validate kinematics.","A 270% volume expansion gives J=3.7, isotropic stretch=1.546680374, engineering linear strain=54.668%, and Hencky linear strain=43.611%. At 300%, J=4 and stretch=1.587401052. These are not small increments.","The scalar relation is defensible only as a local linearization about a declared state, not as a full-cycle constitutive law.","State reference configuration, stress/strain measures, composition interval, and incremental domain; require a finite-strain chemo-mechanical model for absolute full-cycle predictions.","High document/future-mechanics impact; current runtime only accepts an external offset.","0.999"
"P10-PCM-028","P7-CH3-009","3","Si, SiO, and Si-C capacity denominators","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch3v22_sec02_cases.tex:15-35,67-76; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch3v22_sec03_blend.tex:78-84,203-213; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:1105-1115,1134-1140,1288-1319","The three qSi defaults mix per-Si first-cycle reversible, per-SiO-compound theoretical, and Andersen per-Si values under one nominal Si or Si-C mass fraction interface.","Tried to read Andersen's 3117 mAh/g as total composite capacity. The primary article states 60% Si, 30% graphite, 8% binder, 2% carbon and explicitly maps 1000 mAh/g_Si to 600 mAh/g electrode.","Even an ideal 0.60*3579+0.30*372 bound is 2259 mAh/g total, so 3117 cannot be per total electrode. At nominal m=0.30 the defaults produce fSi=0.535331906, 0.663304888, and 0.782183187, but these fractions refer to incompatible denominators.","The denominator/cycle-state mismatch is confirmed and invalidates cross-case wt-percent comparability.","Create an explicit basis registry and distinguish elemental-Si mass, SiO compound mass, and full composite/electrode mass; model internal graphite/inactive fractions or use true per-composite q.","High impact on defaults, from_wt semantics, sweep ranges, and figures/tests.","0.999"
"P10-PCM-029","P7-CH3-016","3","Stress-composition center identifiability","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch3v22_sec04_mech.tex:42-68; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch3v22_sec05_code.tex:31-38,54-61; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:1083-1112,1190-1192,1242-1250","si_stress_offset is exactly confounded with a common shift of every Si transition center.","Tried to separate them using equilibrium, finite-rate dQ/dV, and implicit OCV. Every path constructs the same shifted transition list before evaluation.","Transforming U_j to U_j+0.037 V and stress offset from 0.081 to 0.044 V gave equilibrium and dqdv max differences 1.7763568394e-15 and solve_U_oc difference exactly 0.","The symmetry is exact; ICA/DVA alone cannot identify stress, partial molar volume, or stress-free centers.","Anchor stress-free centers independently or measure stress/geometry simultaneously; expose profile/Jacobian rank and do not interpret a fitted offset as mechanical evidence.","Inference/API contract high; forward numerical code is not buggy.","0.999"
"P10-PCM-030","P7-CH3-017","3","Composition-specific-capacity identifiability","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch3v22_notation.tex:28-30; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch3v22_sec03_blend.tex:61-89,117-133,203-220; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:1134-1143,1252-1270,1288-1319,1368-1380","Blend shape identifies an effective capacity allocation, not mass fraction mSi and qSi separately; Q normalization also discards absolute mass scale.","Tried to recover m from exact host shapes and fSi. Algebra leaves a continuous equivalence family qSi'=qgr f(1-m')/[m'(1-f)].","For f=0.6 and qgr=372, m=0.10,0.20,0.30 pair with qSi=5022,2232,1302 mAh/g. Runtime recovers the same f and Q=2.425; equilibrium curve differences are 0 and 3.553e-15.","The non-identifiability is exact, independent of noise; overlap adds further practical correlation.","Require independent composition/mass loading and q calibration, retain absolute area, and report fSi as effective capacity fraction unless externally anchored.","High inference impact; forward code is deterministic and from_wt algebra is correct.","0.999"
"P10-PCM-031","P9-F001","1","Code fidelity: C-rate time basis","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec01_n0n1.tex:17; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec10_sum.tex:145-161; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:105-112,675-705","Document and code faithfully share the same hour/second mismatch, so document-code agreement masks a scientific unit defect.","Tried to dismiss the duplicate as already represented by P5-CH1-001. It is the same root cause but a distinct required Phase 009 fidelity row and therefore remains without being counted as new.","Pinned runtime again gives a factor 3599.999999999992 between public hour-numeric and second-corrected evaluations.","AFFIRM as a duplicate manifestation of P10-PCM-001; fidelity is internally consistent but scientifically wrong.","Apply the same canonical-time correction and invariance gate as P10-PCM-001.","Public facade and all delegated finite-rate calls.","0.999"
"P10-PCM-032","P9-F002","1","Code fidelity: reduced ratio closure","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec08_lag.tex:100-126; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_appE_selfconsistent.tex:46-97; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:146-177,466-478,655-662","Document and code match a forward-factor-only ratio equation, but both omit the reverse denominator required by the fuller detailed-balance rate.","Tried to reject this as no document-code mismatch. Phase 009 itself distinguishes fidelity from scientific validity; the reduced equation is faithfully coded yet cannot support the complete-closure claim.","At A_cut/RT=4, Omega/RT=5, chi=0.5, xi=0, implemented/complete=3.717823012649, matching the prior row and P10-PCM-002.","AFFIRM as the code-fidelity manifestation of P10-PCM-002, not a new root cause.","Correct document and code from one complete local rate, then update traceability and oracle tests.","Scientific-model impact in both document and optional code path.","0.999"
"P10-PCM-033","P9-F006","2","Code fidelity: LCO electronic defaults","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch1_sec15_lcoelec.tex:160-168,236-287; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:953-965","The runtime exactly hard-codes g_max=13, x_MIT=x_center=0.85, and dx=0.05 even though the fully read Motohashi source does not establish that phase, normalization, location, or logistic form.","Tried to treat tier-C/demo comments as sufficient. They reduce overclaim but the defaults still generate the quantitative -45.7 J/(mol K) well used in examples.","Direct center evaluation is -45.678261885287 J/(mol K); full Motohashi pages locate 13 electrons/eV at O1 CoO2 x=0 under a susceptibility/Pauli inference and highlight x=0.35-0.40, not the shipped O3 gate.","AFFIRM as the fidelity/default manifestation of P6-CH2-002 and P6-CH2-003; no new root cause.","Downgrade and parameterize the defaults, reconstruct units, and separate source-supported endpoint facts from O3 gate hypotheses.","Data/default and quantitative example impact; formula arithmetic is faithful.","0.999"
"P10-PCM-034","P9-F007","3","Code fidelity: fixed-graphite wt-percent basis","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch3v22_sec03_blend.tex:78-84,203-222; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:1252-1270,1288-1319","Document figure and runtime agree on keeping graphite absolute capacity fixed while from_wt is naturally read as fixed-total-mass blending.","Tried to reject because document and code are mutually faithful. The fidelity is real, but the shared basis is the scientific/API defect already established in P7-CH3-001.","Fresh runtime reproduces code/fixed ratios 1.111111, 1.25, 1.428571 at 10,20,30 wt% and normalized-shape equality to 1.776e-15.","AFFIRM as the Phase 009 manifestation of P10-PCM-024; not a separate root cause.","Expose and test fixed-total-mass versus fixed-graphite modes and correct figure/API wording.","Constructor, from_wt, absolute Q, and figure/test impact.","0.999"
"P10-PCM-035","P9-F008","3","Code fidelity: stress geometry","High","확정","AFFIRM","D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/_sections/ch3v22_sec04_mech.tex:15-68; D:/Projects/Project_Anode_Fit/Codex/work/source_snapshots/8ea83fc6825d2e62c360e08d7738ef26d3171914/Claude/docs/v1.0.23/Anode_Fit_v1.0.23.py:1167-1170,1190-1192,1242-1250","The document supplies hydrostatic semantics from a biaxial source while runtime accepts only a precomputed scalar offset and therefore cannot enforce geometry, stress measure, finite strain, or provenance.","Tried to regard the offset-only hook as safely agnostic. It avoids an internal conversion bug but leaves the documented wrong conversion unguarded at the API boundary.","Full Sethuraman source check and fresh tensor calculation give sigma_h=2sigma_b/3, 61.425783 mV/GPa theoretical biaxial versus 92.138674 hydrostatic, and measured 100-125 biaxial.","AFFIRM as the fidelity/API manifestation of P7-CH3-005 and finite-strain limits; not a new root cause.","Name the stress measure in the API/document contract and keep geometry conversion and finite-strain validity explicit before constructing the offset.","Document scientific defect and API semantic gap; scalar offset arithmetic itself is exact.","0.999"
