"source_id","track","bibliographic_identity","publication_date","doi_or_official_url","theory_type","material_regime","full_text_status","exact_locator","gap_ids","proposed_role","target_section","transfer_risk","worker_disposition","parent_disposition","confidence"
"RT-LCO-010","LCO","Ryabin Krylov Krylova Kiselev and Pelegov; Thermal evolution of LiCoO2 structure and Raman spectra below 400 C; Journal of Chemical Physics 159 084706","2023-08-25 (Crossref; issue record 2023-08-28)","https://doi.org/10.1063/5.0164135","ab initio quasi-harmonic thermal expansion plus three-phonon and four-phonon Raman damping model","stoichiometric LiCoO2","ABSTRACT_SCREEN_ONLY; FULL_TEXT_NOT_OBTAINED","official abstract; no full-text equation/figure locator","P6-CH2-008;P6-CH2-014","Evidence that stoichiometric vibrational behavior includes anharmonic contributions; not a reaction-entropy source","ch1_sec15_entropy.tex","Raman shifts/linewidths at x=1 cannot calibrate an x-dependent Einstein entropic potential","REJECT_PARAMETER_TRANSFER","REJECT_PARAMETER_TRANSFER","HIGH"
"RT-LCO-011","LCO","Hu et al.; Oxygen-redox reactions in LiCoO2 cathode without O-O bonding during charge-discharge; Joule 5 720-736","2021-03 (Crossref month precision)","https://doi.org/10.1016/j.joule.2021.01.006","DFT combined with RIXS and neutron pair-distribution analysis","highly delithiated Li_xCoO2 up to about 85 percent Li extraction","PARTIAL_ABSTRACT_HIGHLIGHTS_CONTEXT_SUMMARY","publisher abstract/highlights/context/summary; full DFT page/figure locators unresolved","P6-CH2-002;P6-CH2-003;P6-CH2-013;VALIDITY_OXYGEN","High-delithiation oxygen-redox and structural validity boundary only","ch1_sec11_lcointro.tex;ch1_sec16_phase_separation.tex","High-voltage oxygen mechanism cannot supply reversible O3 logistic entropy parameters","HOLD_VALIDITY_BOUNDARY","HOLD_VALIDITY_BOUNDARY","MEDIUM_HIGH"
"RT-LCO-012","LCO","Zhang Du Liu Xia and Sun; Mechanisms of Enhanced Electrochemical Performance by Chemical Short-Range Disorder in Lithium Oxide Cathodes; ACS Nano 19 6554-6562","2025-02-06","https://doi.org/10.1021/acsnano.4c17907","machine-learning-accelerated ab initio molecular dynamics","regular and deliberately chemically short-range-disordered Li_xCoO2 at x=0.5 and x=0.25; also Li-rich composition","PARTIAL_OFFICIAL_ABSTRACT_AND_SI_DESCRIPTION; MAIN_TEXT_PAYWALLED","official abstract and publication history; SI description; no verified main-text page/figure locator","P6-CH2-009;P6-CH2-013;P6-CH2-018;VALIDITY_STRUCTURE","Method/boundary evidence for high-delithiation structural disorder; not pristine-LCO parameter source","ch1_sec11_lcointro.tex;ch1_sec16_phase_separation.tex","Modified/disordered LCO cannot supply pristine-LCO parameters; main model validation unread","HOLD_METHOD_ONLY_MODIFIED_LCO","HOLD_METHOD_ONLY_MODIFIED_LCO","MEDIUM"
"RT-LCO-013","LCO","Duarte Ruiz and Cocchi; First-Principles Core Spectroscopy of LiCoO2 and CoO2; Journal of Physical Chemistry C","2022-06-28","https://doi.org/10.1021/acs.jpcc.2c01597","first-principles core spectroscopy","LiCoO2 and CoO2 endpoints","METADATA_AND_ABSTRACT_SCREEN_ONLY","official DOI metadata and abstract; no full-text locator used","P6-CH2-002;P6-CH2-003;P6-CH2-006","Electronic endpoint background only","ch1_sec15_entropy.tex","Core spectra do not provide continuous composition free energy or entropy","REJECT_NEAR_MISS","REJECT_NEAR_MISS","HIGH"
"RT-LCO-014","LCO","Optical response and band structure of LiCoO2 including electron-hole interaction effects; Physical Review B 104 115120","2021-09-09","https://doi.org/10.1103/PhysRevB.104.115120","quasiparticle self-consistent GW and Bethe-Salpeter optical theory","stoichiometric LiCoO2","METADATA_AND_ABSTRACT_SCREEN_ONLY","official APS/Crossref metadata and abstract; no full-text locator used","P6-CH2-002;P6-CH2-003","Stoichiometric electronic-method background only","ch1_sec11_lcointro.tex","No x dependence chemical potential entropy or transition width","REJECT_NEAR_MISS","REJECT_NEAR_MISS","HIGH"
"RT-LCO-015","LCO","Ran et al.; Towards prediction of ordered phases in rechargeable battery chemistry via group-subgroup transformation; npj Computational Materials 7 184","2021-11-12","https://doi.org/10.1038/s41524-021-00653-y","DFT group-subgroup ordered-structure prediction","multiple battery materials with Li_xCoO2 examples including high-x ordered candidates","ABSTRACT_AND_OFFICIAL_LANDING_SCREEN_ONLY","official abstract/landing text; no finite-T LCO equation locator","P6-CH2-009;P6-CH2-018;P6-CH2-020","Method-only candidate structure generator","ch1_sec14_interaction.tex;ch1_sec16_phase_separation.tex","Broad zero-K method cannot supply LCO finite-T order parameter or entropy parameters","REJECT_METHOD_ONLY","REJECT_METHOD_ONLY","MEDIUM_HIGH"
"RT-LCO-016","LCO","Wang and Liu; The First Principle Study of Li_xCoO2 at High Voltage; ICCEMM conference proceeding","2021 (day not verified)","https://doi.org/10.25236/iccemm.2021.025","basic first-principles electronic/structure calculation","Li_0.75CoO2 single composition","ABSTRACT_SCREEN_ONLY","official proceeding abstract; single-composition description; no adequate thermodynamic locator","P6-CH2-002;P6-CH2-003;P6-CH2-006","No accepted model role","ch1_sec11_lcointro.tex;ch1_sec15_entropy.tex","Single composition low-detail conference result cannot establish continuous gate phase model or entropy","REJECT_LOW_RIGOR_SINGLE_POINT","REJECT_LOW_RIGOR_SINGLE_POINT","HIGH"
"CH3RT-001","CH3","Ai, Kirkaldy, Jiang, Offer, Wang, and Wu, A composite electrode model for lithium-ion batteries with silicon/graphite negative electrodes, Journal of Power Sources 527, 231142","2022-04","https://doi.org/10.1016/j.jpowsour.2022.231142","multi-material porous-electrode electrochemical model","Si/graphite negative electrode in an NMC811 full cell; LG M50T-scale validation; low-rate equilibrium check and 0.5C, 1C, 1.5C finite-rate cases; separate spherical phase particles","FULL_TEXT_TARGETED; author manuscript, 25 PDF pages; model, validation, results, and limitations inspected","pp. 6-8 Eqs. (1a,b)-(5a,b) and Table 1; p. 11 OCP/phase-change limitation; Fig. 3 p. 12; Fig. 4 p. 13; Fig. 5 pp. 14-15; summary p. 16","P7-CH3-003;P7-CH3-004;P7-CH3-010;P7-CH3-019","required finite-rate state extension and validity-boundary citation","_sections/ch3v22_sec03_blend.tex equilibrium/finite-rate boundary; _sections/ch3v22_sec05_code.tex implementation units","Full-cell parameterization and simplified sigmoid Si OCP do not establish a nonseparable thermodynamic G_int; phase changes and degradation are omitted; host loading/basis must be re-derived for Chapter 3","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CH3RT-002","CH3","Jiang, Niu, Offer, Xuan, and Wang, Insights into the Role of Silicon and Graphite in the Electrochemical Performance of Silicon/Graphite Blended Electrodes with a Multi-Material Porous Electrode Model, Journal of The Electrochemical Society 169, 020568","2022-02-23","https://doi.org/10.1149/1945-7111/ac5481","multi-material porous-electrode electrochemical model","porous Si/graphite half-cell versus Li; mass ratios from Si-lean blends through 1:1; 25 C; C/20 examples; shared electronic phase with separate particles and reactions","FULL_TEXT_TARGETED; publisher/author full text; model derivation, host-current figures, and stated exclusions inspected","pp. 2-4 Eqs. (1)-(12); Fig. 2 host OCP branches; Figs. 6-8 and Eqs. (33)-(37) for capacity-normalized host-current competition","P7-CH3-001;P7-CH3-003;P7-CH3-004;P7-CH3-009;P7-CH3-010;P7-CH3-017","current-model basis correction plus required finite-rate extension","_sections/ch3v22_notation.tex basis; _sections/ch3v22_sec02_cases.tex material identity; _sections/ch3v22_sec03_blend.tex equilibrium/current partition","Li half-cell and binder-free idealization; same phi_s is electrical equipotentiality, not proof that G_int=0; crystallization is deliberately avoided; low-rate cases do not transfer directly to full-cell ICA","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CH3RT-003","CH3","Jane, Higuera, and Varas, Understanding Multiscale Lithium Transport Dynamics in Composite Si-C Electrodes: An Asymptotic Framework for GITT Experiments, Battery Energy 5, e70107","2026-03-28","https://doi.org/10.1002/bte2.70107","composite-particle electrochemical transport model with asymptotic identifiability analysis","Li half-cell with pure graphite plus a composite carbon matrix containing nanoscale Si; synthetic GITT; internal Si-to-carbon exchange and external electrolyte reactions separated","FULL_TEXT_TARGETED; publisher full text; model, asymptotics, synthetic identification, and Appendix A formulation inspected","Section 2 Fig. 1, Table 1, Eqs. (1)-(8); Section 4.3 time-scale separation; Section 5 Fig. 7 and Eqs. (69)-(70); Appendix A volume fractions and half-cell setup","P7-CH3-003;P7-CH3-004;P7-CH3-009;P7-CH3-010;P7-CH3-016;P7-CH3-017","required Si-C internal-host state extension and identifiability boundary","_sections/ch3v22_sec02_cases.tex Si-C definition; _sections/ch3v22_sec03_blend.tex internal exchange; _sections/ch3v22_sec05_code.tex identifiability boundary","Synthetic GITT and reference-electrode parameters; no mechanics, phase transformation, SEI, or degradation; fast internal exchange can look equilibrated without proving a static separable free energy","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CH3RT-004","CH3","Garrick, Koch, Fernandez, Efimoff, Teel, Jones, Tu, and Shimpalee, Modeling Reversible Volume Change in Automotive Battery Cells with Porous Silicon Oxide-Graphite Composite Anodes, Journal of The Electrochemical Society 171, 103509","2024-10-30","https://doi.org/10.1149/1945-7111/ad7982","equilibrium multi-species reaction model coupled to reversible volume/strain accounting","100+ Ah automotive pouch cell with porous SiOx/graphite anode under constant pressure; approximately 5 wt% SiOx; C/20 charge-branch calibration and thickness measurement","FULL_TEXT_TARGETED; publisher full text; equilibrium, blend, volume, figures, and limitations inspected","Eqs. (1)-(5) MSMR equilibrium and differential-voltage relation; Eq. (6) capacity-weighted blend state; Eqs. (7)-(9) full-cell OCV map; Eqs. (10)-(23) volume/porosity/strain; Figs. 14-15","P7-CH3-001;P7-CH3-002;P7-CH3-003;P7-CH3-004;P7-CH3-009;P7-CH3-010;P7-CH3-012;P7-CH3-014;P7-CH3-015;P7-CH3-017","current-model basis/observable correction plus low-rate and unresolved SiOx-internal-chemistry boundaries","_sections/ch3v22_sec02_cases.tex SiOx basis; _sections/ch3v22_sec03_blend.tex equilibrium/DVA; _sections/ch3v22_sec04_mech.tex reversible expansion","Empirical SiOx equilibrium constituent model does not resolve conversion products or internal host chemistry; constant pressure and no-porosity-change assumptions; C/20 charge branch cannot supply finite-rate current partition or hysteresis dynamics","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CH3RT-005","CH3","Bonkile, Jiang, Kirkaldy, Sulzer, Timms, Wang, Offer, and Wu, Is silicon worth it? Modelling degradation in composite silicon-graphite lithium-ion battery electrodes, Journal of Power Sources 606, 234256","2024-06; DOI record created 2024-04-24","https://doi.org/10.1016/j.jpowsour.2024.234256","coupled porous-electrode, small-strain particle mechanics, fracture/LAM, and SEI degradation model","LG M50T-class SiOx/graphite full-cell data represented as Si/graphite particles; 7 and 10 wt% Si cases; 25 C; C/10 diagnostics, 0.3C/1C cycling, broad and 0-30% SOC windows","FULL_TEXT_TARGETED; author manuscript, 11 PDF pages; all model equations, interaction diagram, validation figures, limitations, and conclusion inspected","p. 3 Eqs. (1)-(6) stress/diffusion; pp. 3-4 Eqs. (7)-(21) host currents, hysteretic OCP, crack, LAM, and SEI; Fig. 2 p. 4; Figs. 3-6 pp. 6-7; Fig. 7 pp. 7-8; limitations/conclusion p. 8","P7-CH3-004;P7-CH3-006;P7-CH3-007;P7-CH3-010;P7-CH3-011;P7-CH3-013;P7-CH3-014;P7-CH3-015;P7-CH3-016;P7-CH3-018","required degradation-state extension plus small-strain and cycle-protocol validity boundaries","_sections/ch3v22_sec01_map.tex and sec02_cases.tex degradation claims; sec03_blend.tex finite-rate interaction; sec04_mech.tex mechanics/SEI boundary","Spherical free particles omit irregular morphology, CBD/contact, and electrode constraint; constant partial molar volume and small strain; SiOx cell data mapped to elemental-Si model; Paris-law and SEI parameters are estimated; dryout omitted","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CH3RT-006","CH3","Kobbing, Latz, and Horstmann, Voltage Hysteresis of Silicon Nanoparticles: Chemo-Mechanical Particle-SEI Model, Advanced Functional Materials 34, 2308818","2023-11-05 online; 2024 volume","https://doi.org/10.1002/adfm.202308818","finite-strain chemo-elasto-viscoplastic particle/SEI model","amorphous spherical Si nanoparticle with inactive SEI/native-oxide analogue; C/20 and GITT-like cycling; constrained thin-film and particle boundary comparisons; no Li15Si4 phase state","FULL_TEXT_TARGETED; full arXiv/author manuscript, 12 PDF pages; governing equations and all mechanism-comparison figures inspected","pp. 1-2 Eqs. (1)-(11) finite strain, free energy, plasticity, chemical potential, and voltage; pp. 2-3 Eqs. (12)-(21) SEI mechanics; p. 3 fracture/healing regime; p. 4 and Figs. 2-5 geometry/rate/rest comparisons","P7-CH3-006;P7-CH3-011;P7-CH3-015;P7-CH3-016;P7-CH3-018","required finite-strain/SEI state extension and hysteresis validity boundary","_sections/ch3v22_sec01_map.tex hysteresis claim; _sections/ch3v22_sec04_mech.tex finite-strain/stress/SEI boundary","Particle and thin-film constraints produce different hysteresis; constant partial molar volume; ideal OCV is inferred as the branch mean; no crystalline phase, blend, porous electrode, or electrochemical degradation calibration","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CH3RT-007","CH3","von Kolzenberg, Latz, and Horstmann, Chemo-Mechanical Model of SEI Growth on Silicon Electrode Particles, Batteries & Supercaps 5, e202100216","2021-11-23 online; 2022 volume","https://doi.org/10.1002/batt.202100216","finite-deformation particle/SEI growth, fracture, and healing model","spherical Si particle with mechanically active SEI; storage and cycling calculations including C-rate dependence; no graphite or porous blend","FULL_TEXT_TARGETED; full publisher/author text; thermodynamics, SEI growth, spherical specialization, and long-time figures inspected","Section 2 Eq. (13) dissipation; Eqs. (14)-(21) particle free energy/chemical potential; Eqs. (29)-(32) growth/mechanics; Eq. (36) fracture/healing stress; Eq. (39) spherical deformation; Eqs. (43)-(48) dimensionless/interface system; Figs. 8 and 11-13","P7-CH3-006;P7-CH3-014;P7-CH3-015","future-work citation and required SEI-mechanics state template","_sections/ch3v22_sec01_map.tex fracture/SEI exclusions; _sections/ch3v22_sec04_mech.tex future finite-strain/SEI extension","Single spherical Si particle; several parameters transferred from graphite or lithium films; no host-current partition, CBD/contact, or full-cell inventory closure; not a parameter source for Chapter 3","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","MEDIUM-HIGH"
"CH3RT-008","CH3","Schoof, Niermann, Dyck, Bohlke, and Dorfler, Modeling and simulation of chemo-elasto-plastically coupled battery active particles, Computational Mechanics 75, 185-210","2024-07-16 online; 2025 volume","https://doi.org/10.1007/s00466-024-02499-9","finite-strain chemo-elasto-plastic continuum particle model","amorphous Si spherical and elliptical particles after the initial two-phase regime; constant-flux cycling for up to five cycles; geometry and plasticity comparisons","FULL_TEXT_TARGETED; publisher full text; Sections 2-5 and Figs. 3-7 inspected","Section 2.1 Eqs. (1)-(8) finite/multiplicative deformation; Section 2.2 Eqs. (9)-(11) free energy from measured OCV; Section 2.3 Eqs. (12)-(16) transport/chemical potential; Section 2.4 Eqs. (17)-(18); Section 2.5 Eqs. (19)-(26); Section 4 Figs. 3-7; Section 5 caveats","P7-CH3-006;P7-CH3-007;P7-CH3-008;P7-CH3-010;P7-CH3-011;P7-CH3-016;P7-CH3-018","required finite-strain/plasticity state extension and geometry validity boundary","_sections/ch3v22_sec01_map.tex phase/hysteresis boundary; _sections/ch3v22_sec04_mech.tex finite-strain stress-potential formulation","Single-phase amorphous Si only after initial transformation; constant partial molar volume and imposed flux; no Butler-Volmer kinetics, SEI, graphite, CBD, or porous-electrode coupling","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CH3RT-009","CH3","Schoof, Castelli, and Dorfler, Simulation of the deformation for cycling chemo-mechanically coupled battery active particles with mechanical constraints, Computers & Mathematics with Applications 149, 135-149","2023-11; DOI record created 2023-09-14","https://doi.org/10.1016/j.camwa.2023.08.027","finite-deformation chemoelastic contact/obstacle model","single spherical Si particle against a fixed wall and Si in a nanotube-like constraint; prescribed flux; no plasticity, SEI, blend, or electrochemical kinetics","FULL_TEXT_TARGETED; full arXiv/publisher text; formulation and both contact examples inspected","free-energy/chemical-potential formulation and variational inequality Eq. (10); Section 4.2.1 Figs. 6-9 spherical contact; Section 4.2.2 Figs. 10-13 nanotube constraint","P7-CH3-006;P7-CH3-014","future-work candidate for contact/confinement boundary only","_sections/ch3v22_sec01_map.tex contact/LAM exclusion; _sections/ch3v22_sec04_mech.tex constrained-particle future work","Numerical contact study with imposed flux and no calibration to porous Si/graphite CBD/contact networks; stress magnitudes and ideal constraints are not transferable as Chapter 3 parameters","HOLD","HOLD","MEDIUM"
"CH3RT-010","CH3","Le, Bruant, Phung, Ozanam, Rosso, and Guin, Stress dependence of the chemical potential of lithium in a silicon electrode, Journal of the Mechanics and Physics of Solids 207, 106421","2026-02 journal issue; DOI record created 2025-11-20","https://doi.org/10.1016/j.jmps.2025.106421","finite-strain thin-film chemo-viscoplastic model with independent stress perturbation experiment","amorphous hydrogenated Si thin film in a Li half-cell; 50 mV-1 V; first two cycles about C/25 and third about C/8; homogeneous second/third lithiation emphasized; first-lithiation two-phase plateau excluded","FULL_TEXT_TARGETED; full HAL author PDF, 22 PDF pages including appendices; equations, protocol, calibration/prediction, delithiation failure, and conclusion inspected","PDF p. 3 Eqs. (1.1)-(1.2); p. 5 Fig. 2/protocol; pp. 7-9 Eqs. (4.1)-(4.16); p. 10 Eq. (5.2); pp. 11-12 Table 1 and Figs. 6-7; pp. 14-15 Figs. 9-10 and conclusion; p. 18 Appendix B","P7-CH3-005;P7-CH3-006;P7-CH3-007;P7-CH3-008;P7-CH3-011;P7-CH3-016;P7-CH3-018","current stress-geometry correction plus required finite-strain/viscoplastic extension and identifiability citation","_sections/ch3v22_notation.tex stress definitions; _sections/ch3v22_sec04_mech.tex geometry/finite strain; _sections/ch3v22_sec05_code.tex identifiability","Equibiaxial substrate-constrained thin film is not a free particle or porous composite; constant Omega; homogeneous later-lithiation model; significant delithiation discrepancy; independent mechanical loading is required to identify the coupling","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CH3RT-011","CH3","Fu, Wang, Zhang, Yang, Chen, Xu, Ouyang, Xu, Dai, and E, Unraveling the Atomic-scale Mechanism of Phase Transformations and Structural Evolutions during (De)Lithiation in Si Anodes, Advanced Functional Materials 33, 2303936","2023-05-24","https://doi.org/10.1002/adfm.202303936","atomistic Deep Potential molecular dynamics plus grand-canonical Monte Carlo thermodynamics","elemental crystalline/amorphous Si and Li-Si bulk structures, including c-Si, a-Si, c-Li3.75Si (Li15Si4), and a-Li4.5Si; formation-energy/voltage and transformation paths; not an electrode cycle model","FULL_TEXT_TARGETED; complete 24-page ChemRxiv author preprint available; abstract, introduction, methods, phase/voltage results, and conclusion through p. 18 inspected","p. 1 abstract; pp. 2-4 phase/path problem; p. 4 onward DP-MD/GCMC method; p. 10 Eq. (2) formation energy and Fig. 5; pp. 10-11 path-dependent voltage and 0.26 V latent-heat contribution; p. 12 Fig. 6; p. 18 conclusion","P7-CH3-007;P7-CH3-008;P7-CH3-010;P7-CH3-011;P7-CH3-016","required phase/path-state extension and thermodynamic voltage prior","_sections/ch3v22_sec01_map.tex phase/hysteresis claims; _sections/ch3v22_sec02_cases.tex Si path states; _sections/ch3v22_sec04_mech.tex mechanism separation","Bulk atomistic thermodynamics exclude particle stress, kinetic/concentration polarization, electrolyte, SEI, and blend interactions; no direct full-cell cutoff-to-state calibration; cannot be inserted as a porous-electrode voltage curve without coarse-graining","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CH3RT-012","CH3","Darikas, Dubarry, Barai, Amor-Segan, and Greenwood, Assessment of the Impact of Silicon on Loss of Active Material Quantification in Blended Silicon/Graphite Negative Electrodes, Journal of The Electrochemical Society 172, 080536","2025-08-28","https://doi.org/10.1149/1945-7111/adfca1","synthetic full-cell equilibrium/diagnostic degradation-mode model","synthetic low-rate Si/graphite full cells with NMC811 or NCA; 10% and 15% silicon capacity contributions; imposed LAM and inventory scenarios; ICA/DVA marker analysis","FULL_TEXT_TARGETED; full Warwick author PDF; diagnostic construction, figures, interaction-error equation, and conclusions inspected","PDF p. 3 Si ICA valley; p. 4 Fig. 2 and silicon AUC proxy; p. 5 Fig. 3; pp. 6-8 Figs. 4-7; interaction-error Eq. (1); p. 10 conclusions","P7-CH3-014;P7-CH3-015;P7-CH3-016;P7-CH3-017","observable mapping and identifiability/interaction-error boundary","_sections/ch3v22_sec03_blend.tex ICA/DVA mapping; _sections/ch3v22_sec05_code.tex LAM/LLI identifiability boundary","Synthetic low-rate curves; cathode and blend assumptions affect error; silicon LAM absolute error reaches about 15% and graphite/silicon modes cross-couple; qualitative trends are safer than absolute attribution","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CH3RT-013","CH3","Rehm, Natterer, Eizenhammer, Guenthner, Kuecher, Korkmaz, Roehrer, and Jossen, How to determine the degradation modes of lithium-ion batteries with silicon-graphite blend electrodes, Journal of Power Sources 670, 239418","2026-04 journal issue; DOI record created 2026-02-03","https://doi.org/10.1016/j.jpowsour.2026.239418","degradation-mode fitting and Si-OCP reconstruction model","Si/graphite blend full-cell degradation diagnosis with three-electrode validation according to accessible abstract/metadata; exact formulation and protocols unresolved without article body","ABSTRACT_AND_METADATA_ONLY; official article/abstract and DOI verified; full article PDF returned access-denied responses during this review","No claim-level locator available; accessible abstract reports Si OCP reconstructed from blend plus graphite data, more than twofold graphite-loss sensitivity to Si-OCP choice, three-electrode validation, and open code","P7-CH3-009;P7-CH3-010;P7-CH3-014;P7-CH3-015;P7-CH3-016;P7-CH3-017","highest-priority retrieval candidate for OCP-basis and degradation identifiability","_sections/ch3v22_sec02_cases.tex Si OCP definition; _sections/ch3v22_sec03_blend.tex degradation inversion; _sections/ch3v22_sec05_code.tex identifiability","Abstract-only evidence cannot support equation- or claim-level adoption; material formulation, exact protocol, objective function, equations, and validation locators remain unresolved","RETRIEVE","RETRIEVE","MEDIUM"
"CH3RT-014","CH3","Li, Wan, Liu, Wang, and Zhang, Experimental measurement of electro-chemo-mechanical properties of a composite silicon electrode in lithium ion batteries, Physical Chemistry Chemical Physics 24, 25580-25587","2022-09-23 DOI record; 2022 publication","https://doi.org/10.1039/D2CP01545E","experimental inverse electro-chemo-mechanical characterization relevant to model closure","composite Si cantilever electrode; measured swelling, concentration-dependent partial molar volume/modulus, in-plane stress, and cracking according to accessible official abstract","ABSTRACT_AND_METADATA_ONLY; official RSC identity/abstract verified; article/PDF access was denied during this review","No equation-level locator available; official abstract identifies composition-dependent partial molar volume and modulus plus stress/crack measurements in a composite Si electrode","P7-CH3-005;P7-CH3-007;P7-CH3-014","retrieval candidate for composition-dependent partial-molar-volume closure; not yet a theory adoption","_sections/ch3v22_notation.tex partial-molar-volume definition; _sections/ch3v22_sec04_mech.tex composite stress closure","Experimental rather than theory-primary; composite apparent properties include pore/CBD/binder effects and cannot be substituted for intrinsic amorphous-Si particle properties; full equations and protocol must be checked before use","RETRIEVE","RETRIEVE","MEDIUM"
"CRM-001","COMMON","V. Laue; F. Roeder; U. Krewer. Practical identifiability of electrochemical P2D models for lithium-ion batteries. Journal of Applied Electrochemistry 51 (2021) 1253-1265.","2021-06-26","https://doi.org/10.1007/s10800-021-01579-5","multi-start practical identifiability; sequential experiment design","P2D NMC111/graphite three-electrode cell","FULL_TEXT_TARGETED; official open HTML; not end-to-end in this pass","Sections 2.2-2.4; Sections 3.2-3.3; Figure 2; Conclusions","OCP plus C-rate data leave reaction and conductivity effects ambiguous and anode conductivity insensitive; EIS plus electrode-resolved data separate time scales. This diagnoses cross-chapter thermo/kinetic/electrode compensation but does not identify U_j/Q_j/w_j or stress parameters directly.","Require multi-start testing and orthogonal dynamic plus electrode-resolved observables before physical interpretation.","Ch1 inverse/identifiability and validity; Ch2 fitting/identifiability; Ch3 validation/experiment design","HIGH: chemistry and P2D parameter set are case-specific; only method and observable-design logic transfer; duplicate of LIT-006.","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CRM-002","COMMON","M. D. Berliner et al. Nonlinear Identifiability Analysis of the Porous Electrode Theory Model of Lithium-Ion Batteries. Journal of The Electrochemical Society 168 (2021) 090546.","2021-09-23","https://doi.org/10.1149/1945-7111/ac26b1","MCMC screening; nonlinear confidence-region mapping","LiC6/LCO porous-electrode model","FULL_TEXT_TARGETED; open published PDF; not end-to-end in this pass","Identifiability Methodology; Figures 5-7; Equation 12; Conclusions","A C/10 voltage curve identifies only effective solid diffusion while kinetic/transport terms lie on a curved resistance-in-series region. The same nonlinear-region diagnostic can expose Ch1 width/lag ridges Ch2 g_max/Delta x and Ch3 offset/center or m_Si/q_Si compensation.","Use posterior screening followed by gridded 2D/3D confidence regions for named project combinations.","Ch1-Ch3 common inverse-problem gate","HIGH: P2D transport parameters and synthetic conditions do not transfer; duplicate of LIT-059.","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CRM-003","COMMON","J. Morales Escalante; S. Sahu; J. M. Foster; B. Protas. On uncertainty quantification in the parametrization of Newman-type models of lithium-ion batteries. Journal of The Electrochemical Society 168 (2021) 110519.","2021-11-11","https://doi.org/10.1149/1945-7111/ac3159","Bayesian UQ under model discrepancy","SP/cSP inference against higher-fidelity DFN synthetic data","FULL_TEXT_TARGETED; accepted-manuscript PDF; not end-to-end in this pass","PDF page 9 product b*D_s; pages 16-18 Figures 4-5; pages 19-20 Figure 6 and Summary/Conclusions","Parameters b and D_s enter as a product; low-rate fits admit curved manifolds with 300% parameter variation; high rate narrows some uncertainty while fit quality and parameter fidelity worsen. This directly motivates misspecified-model tests for Ch1 broadening/history Ch2 path/model class and Ch3 omitted mechanics/contact/SEI.","Separate posterior contraction from model adequacy; require residual and parameter-stability checks across rates and model variants.","Ch1-Ch3 model discrepancy and UQ","MEDIUM-HIGH: synthetic DFN-to-reduced-model setting transfers conceptually; numerical rates and parameters do not.","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CRM-004","COMMON","G. Galuppini; M. D. Berliner; D. A. Cogswell; D. Zhuang; M. Z. Bazant; R. D. Braatz. Nonlinear identifiability analysis of Multiphase Porous Electrode Theory-based battery models: A Lithium Iron Phosphate case study. Journal of Power Sources 573 (2023) 233009.","2023-05-04","https://doi.org/10.1016/j.jpowsour.2023.233009","linearized versus nonlinear confidence regions; multiphase thermodynamic identifiability","MPET LFP/graphite synthetic discharge","FULL_TEXT_TARGETED; author PDF; not end-to-end in this pass","Sections 2.3-2.5; Figure 2; Section 4 discussion; Section 5 Conclusions","Linearized ellipses can falsely suggest local identification when nonlinear regions are unbounded or banana-shaped; some chemical-potential parameters remain unidentifiable. This is directly diagnostic for Ch2 thermodynamic-model parameters and Ch1 mixture/broadening combinations.","Use pair/triplet nonlinear maps after structural reparameterization; treat priors/fixing/reduction/new data as explicit remedies.","Ch1 and Ch2 identifiability; common nonlinear-UQ method","HIGH: LFP MPET and one 4C synthetic discharge are material/model specific; no parameter values transfer; duplicate of LIT-023.","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
